name,ratings,no_of_reviews,current_price,original_price
"FLiX (Beetel) UltraCharge P115 10000mAh 22.5W QC Power Delivery PPS Power Bank, Tripple Output, Dual Input Type C & B, Percentage LED Indicator, Compatible to iPhone, Samsung, Google (XPB-P115)(Blue)",3.5,"2,897",650,"₹4,299"
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Blue, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds, Speaker, Tablet)",3.9,211,"1,999","₹3,999"
"Xiaomi Pocket Power Bank 10000mAh 22.5W Fast Charging|Inbuilt Cable|Slim & Compact|Power Delivery|QC 3.0|Type-C Input & Output|3 Output Ports|Blue|Supports Android,Apple,Tablets,Earbuds,Watches",4.2,124,"1,699","₹2,999"
"pTron Dynamo Nitro 10000mAh 12W Power Bank, Dual USB Charging Ports, 2 Input Ports Type-C & Micro USB, Made in India, Multiple Layers of Protection & BIS Certified (Green)",3.8,"8,571",699,"₹2,199"
Amazon Basics 10000mAh Li-Polymer Wireless Power Bank | Two-Way Fast Charging | 22.5W Fast Charging Through Wire |15W Wireless Charging| for iPhone 12 and Above and Samsung S Series Phones (Black),3.2,190,"1,599","₹2,999"
"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More",4.2,"3,119","3,000","₹3,499"
"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Black)",4.3,539,"1,399","₹3,999"
"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Blue)",4.1,545,"1,399","₹3,999"
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),3.9,"1,724","1,469","₹3,999"
"pTron Dynamo Electra 10000mAh 22.5W Nano Power Bank, Compact Size Fast Charging, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)",4.6,"1,273","1,599","₹3,799"
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Black)",3.9,"31,469",999,"₹1,799"
"Anker Power Bank, PowerCore Essential with Digital Display, Patented PowerIQ Technology for Fast Charging iPhone 15, 14, 13, Samsung, Pixel, LG, Other Phones & Tablets",4.3,176,"1,419","₹5,199"
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Purple, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds,Speaker, Tablet)",3.9,211,"1,899","₹3,999"
"pTron Dynamo Quanta 10000mAh 22.5W Nano Power Bank, 15W Magnetic Wireless Charging, Compact Size Fast Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)",4.6,"1,273","1,899","₹4,599"
"ZEBRONICS MB10000S6 Power Bank, 10000 mAh, 12W, 5 x Outputs - Dual USB A | Type C | Micro USB | Lightning, Built in I/O Cables, Percentage Display, Carry Loop, Made in India (Lavender)",3.0,450,668,"₹1,899"
LAPCARE Bolt Pro 20000Mah Transparent Power Bank | 22watt Type-C PD Fast Charging | Dual USB QC Port | Led Display | Multi Circuit Protection | Made in India,4.0,259,"1,249","₹4,899"
"FLiX(Beetel) New Launch PowerXtreme 10,000mAh 12W Slim Power Bank,USB C/Micro USB Input,Dual USB A Output,Compatible with iPhone (Type A to Lightning), Samsung, Google Pixel, Oneplus(Cobalt Blue-P10)",3.6,"2,480",490,"₹1,799"
"Ambrane 20000mAh Powerbank, 22.5W Fast Charging, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 20, Green)",3.7,209,"1,699","₹2,699"
"Portronics Power Pebble 5000mAh 20W Fast Charging Powerbank, in-Built Foldable Type C Input/Output Pin, Type C PD Output, LED Battery Indicator, Compatible with Type C Smartphone,iPhone(Black)",3.4,48,949,"₹2,499"
"pTron Dynamo Nitro 10000mAh 12W Power Bank, Dual USB Charging Ports, 2 Input Ports Type-C & Micro USB, Made in India, Multiple Layers of Protection & BIS Certified (Black)",3.8,"8,571",699,"₹2,199"
"boAt Pocket Energyshroom PB300 Pro 10000mAh | Compact Power Bank, Type-C Input (2-Way Port), 2X Output Ports, 2-Way 22.5W Fast Charging, Pass-Through Charging(Steel Blue)",4.0,"2,025","1,399","₹3,499"
"Redmi 20000mAh Li-Polymer Power Bank, USB Type C and Micro USB Ports, 18W Fast Charging, Low Power Mode, Black",4.2,"24,760","2,049","₹3,199"
"Boult Newly Launched AmpVault v10 Powerbank with 10000 mAh, 22.5W Fast Charging, LED Display, USB & Type C Input/Output, Overcharge Protection, iPhone & Andriod Mobile Power Bank (Jet Black)",3.9,71,"1,099","₹2,999"
"pTron Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Outputs & 1 Input & Multiple Layers of Protection (Blue)",4.2,166,899,"₹2,599"
"pTron Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Outputs & 1 Input & Multiple Layers of Protection (Black)",4.2,322,899,"₹2,599"
"pTron Dynamo Elite 10000mAh 22.5W Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Output & 2 Input Ports & Multiple Layers of Protection (Jet Black)",3.4,49,899,"₹2,899"
"boAt Energyshroom PB330 MagnaCharge 10000 mAh Magnetic Wireless Power Bank w/ 15W Wireless Charging, Metal Stand,Magnacharge Ring for iPhone and Android Phones w/Wireless Charge(White)",3.9,276,"1,999","₹4,999"
"Amazon Basics 20000 mAh Power Bank | 22.5W Fast Charging | Dual Output & Input | Charge 3 Devices Simultaneously | for Smartphones, TWS Earbuds, Speakers, Tablets (Black)",3.8,733,"1,099","₹3,999"
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Blue)",3.9,"31,469",899,"₹1,799"
E GATE 204B Powerbank | 20000mAh | 22.5W Fast Charging | QC + PD | Dual Input Port : Type C & Micro USB | Triple Output Port : 2X USB & Type C | LED Indicator| for All iPhone & Android (Black),4.9,24,"1,080","₹3,000"
"boAt Energyshroom PB330 MagnaCharge 10000 mAh Magnetic Wireless Power Bank w/ 15W Wireless Charging, Metal Stand,Magnacharge Ring for iPhone and Android Phones w/Wireless Charge(Black)",3.9,276,"1,999","₹4,999"
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Olive, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds,Speaker, Tablet)",4.1,71,"2,099","₹3,999"
